model_key,policy_name,budget_fraction,num_evaluations,mean_logit_l2,mean_kl,mean_top1_agreement,mean_token_fraction,mean_budget_token_fraction,mean_retained_turn_fraction,mean_kept_segments,mean_compressed_segments,mean_evicted_segments
smollm2_17b,geometry_lexical,0.35,36,208.17140028211804,0.06925902534286937,0.8611111111111112,0.6241186982586477,0.447903329455649,0.6255291005291006,0.0,0.0,0.0
smollm2_17b,geometry_lexical,0.50,36,179.92705239189996,0.0460392228697803,0.8333333333333334,0.7042148391512174,0.5389791979322066,0.7105158730158732,0.0,0.0,0.0
smollm2_17b,geometry_segment_actions,0.20,36,228.7194798787435,0.11222130808437687,0.8055555555555556,0.5489805054916581,0.3634081305324768,0.5083333333333333,0.1111111111111111,0.6388888888888888,1.25
smollm2_17b,geometry_segment_actions,0.35,36,196.13708368937174,0.04443488801203207,0.8888888888888888,0.6380695496980873,0.46382643689256486,0.6255291005291006,0.4444444444444444,0.8888888888888888,0.6666666666666666
smollm2_17b,geometry_segment_actions,0.50,36,169.3716572655572,0.04638781539319541,0.8611111111111112,0.7207997583458938,0.5605428803167188,0.7105158730158732,0.7777777777777778,0.75,0.4722222222222222
smollm2_17b,lexical,0.20,36,229.30675972832574,0.1025605483969056,0.8055555555555556,0.5453664493187815,0.35933210031690505,0.5083333333333333,0.0,0.0,0.0
smollm2_17b,lexical,0.35,36,206.56517283121744,0.0676507631051627,0.8888888888888888,0.6282549162828327,0.4527267868101528,0.6255291005291006,0.0,0.0,0.0
smollm2_17b,lexical,0.50,36,186.49926122029623,0.054771122729013105,0.8055555555555556,0.716063660830076,0.5522008331327664,0.7105158730158732,0.0,0.0,0.0
smollm2_17b,uniform,0.20,36,232.82493803236218,0.0991580388878014,0.75,0.5522788327654736,0.36750065578587,0.5083333333333333,0.0,0.0,0.0
smollm2_17b,uniform,0.35,36,215.82577599419488,0.10105844203840064,0.8055555555555556,0.6325354104551663,0.4713229127696843,0.6136243386243386,0.0,0.0,0.0
smollm2_17b,uniform,0.50,36,194.580142127143,0.08263966501620562,0.8055555555555556,0.6823375096330118,0.5842817570588726,0.64239417989418,0.0,0.0,0.0
smollm2_17b,uniform_segment_actions,0.20,36,219.82437049018012,0.09049398082162302,0.8333333333333334,0.5465466646642263,0.360282775093193,0.5083333333333333,0.2222222222222222,0.5277777777777778,1.25
smollm2_17b,uniform_segment_actions,0.35,36,192.75423685709634,0.046927991860541515,0.8611111111111112,0.6482424739226313,0.4750377249996205,0.6255291005291006,0.4722222222222222,0.9166666666666666,0.6111111111111112
smollm2_17b,uniform_segment_actions,0.50,36,176.7740584479438,0.03543542896797705,0.8333333333333334,0.7081661367354791,0.5434268569466354,0.7105158730158732,0.5,1.3888888888888888,0.1111111111111111
